CooperativePlayer, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C
RandomDefector, C, D, C, C, D, C, D, D, C, D, D, D, D, C, C, C, C, C, D, C, D, C, C, D, D, C, C, C, C, D, C, C, C, D, D, C, C, C, D, C, C, C, C, C, C, D, C, D, D, C, D, C, D, D, C, D, C, C, C, D, D, C, C, C, C, C, C, D, C, C, C, D, D, C, C, C, C, C, C, C, D, C, C, C, D, C, D, C, C, C, C, D, D, C, D, D, C, D, C, C, D, C, D, C, C, C, D, D, C, D, C, C, C, C, D, D, D, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, C, D, C, D, C, D, D, C, C, C, C, C, D, D, C, C, C, D, D, D, C, D, C, C, D, C, C, D, D, D, C, C, C, C, D, D, C, C, C, C, C, C, C, C, C, C, D, C, C, C, C, D, C, C, D, C, C, C, C, C, C, C, C, C, C, C, C, C
